time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss
2048,33.31147540983606,1,0.05573770491803279,132,15,,,,,,,,,,
4096,32.0,2,0.08,120,34,10,-0.04563290998339653,0.0003,-0.3429321050643921,-0.018145579383417498,0.01845703125,0.0071380483,0.2,-1.8317336101084947,0.019777569639700232
6144,30.52,3,0.07300000000000001,113,54,20,-0.0476190447807312,0.0003,-0.20820772647857666,-0.026312439881439786,0.04765625,0.00830428,0.2,-1.8867607943713665,0.018826622433698502
8192,32.49,4,0.126,113,72,30,-0.008300678804516792,0.0003,-0.2234588861465454,-0.02954734186278074,0.068017578125,0.009745086,0.2,-1.847924553230405,0.02832650050331722
10240,33.92,5,0.122,112,90,40,-0.035803843289613724,0.0003,-0.01923239231109619,-0.031027261213603198,0.081396484375,0.009483887,0.2,-1.8123504746705295,0.03189580044854665
12288,33.79,6,0.157,111,110,50,-0.038384996354579926,0.0003,-0.2886999845504761,-0.043312672059983015,0.126318359375,0.011595774,0.2,-1.850729202851653,0.02471678725705715
14336,35.59,7,0.039,110,129,60,-0.025287210941314697,0.0003,-0.04347717761993408,-0.03500445039680926,0.11552734375,0.011189621,0.2,-1.796722376346588,0.05494485899398569
16384,36.72,8,0.11900000000000001,110,148,70,-0.05087819695472717,0.0003,-0.4432910680770874,-0.04481242044566898,0.12548828125,0.012909402,0.2,-1.7424027990549802,0.012553333990945248
18432,36.79,9,0.15,111,165,80,-0.036063212901353836,0.0003,-0.037613868713378906,-0.036953621843713334,0.12099609375,0.012680523,0.2,-1.756931946054101,0.046677447271940765
20480,36.68,10,0.22000000000000003,110,184,90,-0.052523769438266754,0.0003,-0.19034218788146973,-0.040308209473732856,0.130859375,0.013324686,0.2,-1.7438578691333533,0.04456234110257355
22528,38.69,11,0.165,111,201,100,-0.02671443298459053,0.0003,-0.04562056064605713,-0.04409293151147722,0.12451171875,0.012868388,0.2,-1.708827505260706,0.06657700638752431
24576,39.64,12,0.161,111,220,110,-0.05608401447534561,0.0003,-0.8278864622116089,-0.0527222062315559,0.165966796875,0.016056083,0.2,-1.738586525246501,0.020181734972720734
26624,40.35,13,0.20400000000000001,111,239,120,-0.04088514670729637,0.0003,-0.035228848457336426,-0.04082544539414812,0.148974609375,0.0149831455,0.2,-1.6720671642571687,0.06898297785955947
28672,42.14,14,0.158,109,262,130,-0.049758877605199814,0.0003,-0.21158909797668457,-0.04845040837244596,0.165673828125,0.015737485,0.2,-1.5399204384535552,0.03466766691271914
30720,43.26,15,0.331,107,284,140,-0.05636434257030487,0.0003,-0.11914598941802979,-0.04710126962745562,0.150830078125,0.015042171,0.2,-1.6480165619403124,0.05001518447534181
32768,42.21,16,0.44799999999999995,106,308,150,-0.006102379411458969,0.0003,-0.07379436492919922,-0.048613449801632666,0.164453125,0.017367214,0.2,-1.5582878913730382,0.11610901658423245
34816,41.68,17,0.43200000000000005,104,333,160,2.4966895580291748e-05,0.0003,-0.17076849937438965,-0.05181916634610388,0.181494140625,0.018879822,0.2,-1.5667661607265473,0.09222811299259774
36864,43.45,18,0.353,103,357,170,-0.045281969010829926,0.0003,0.1487216353416443,-0.050198318818002005,0.177734375,0.018285515,0.2,-1.5239753920584918,0.09214581461856142
38912,42.9,19,0.46199999999999997,101,382,180,-0.010333508253097534,0.0003,0.011217594146728516,-0.04599569053243613,0.15380859375,0.015407529,0.2,-1.5622247975319623,0.10949526146287099
40960,43.81,20,0.5920000000000001,100,407,190,-0.02153550088405609,0.0003,0.01946812868118286,-0.049738809413975106,0.1568359375,0.015431043,0.2,-1.593075181916356,0.1659526992123574
43008,44.63,21,0.618,99,434,200,0.02224697172641754,0.0003,-0.04025602340698242,-0.05254876986873569,0.175732421875,0.017381938,0.2,-1.591622744500637,0.18890112596563996
45056,44.66,22,0.494,98,458,210,0.01221919059753418,0.0003,-0.0027887821197509766,-0.05319494164723437,0.182861328125,0.018052122,0.2,-1.5667080223560332,0.13844736695755272
47104,43.79,23,0.576,97,483,220,-0.03964954987168312,0.0003,-0.22385549545288086,-0.05891751704912167,0.21201171875,0.020395072,0.2,-1.5543618679046631,0.10550783113576472
49152,44.39,24,0.845,96,508,230,0.020266614854335785,0.0003,0.06715548038482666,-0.050301640541874804,0.179296875,0.01912012,0.2,-1.5538142547011375,0.18516701471526176
51200,46.25,25,0.63,96,532,240,0.04375440627336502,0.0003,-0.24578654766082764,-0.05688240831950679,0.187744140625,0.020630002,0.2,-1.4543689705431462,0.23010756296571344
53248,47.62,26,0.48400000000000004,95,556,250,-0.07401115447282791,0.0003,-0.010663866996765137,-0.057264774544455575,0.2080078125,0.021316847,0.2,-1.4170542258769274,0.08119012017850764
55296,46.2,27,0.7719999999999999,95,580,260,-0.02297310158610344,0.0003,0.011653006076812744,-0.0567761667407467,0.202880859375,0.021688785,0.2,-1.4872895006090403,0.11326564480550587
57344,46.7,28,0.986,95,602,270,0.03634417802095413,0.0003,0.01899665594100952,-0.05885864937736187,0.215771484375,0.021232247,0.2,-1.4654143262654542,0.23069601259194314
59392,47.09,29,0.926,94,626,280,0.03341203182935715,0.0003,0.029834270477294922,-0.060835004407999806,0.21552734375,0.022756562,0.2,-1.4715921893715858,0.23027002068702132
61440,46.75,30,1.3110000000000002,94,650,290,-0.017572544515132904,0.0003,0.023094236850738525,-0.06194027429301059,0.223046875,0.022840984,0.2,-1.5205461721867324,0.19084247876890004
63488,46.99,31,1.4269999999999998,94,672,300,0.2684619426727295,0.0003,0.0623478889465332,-0.057460125238867475,0.204638671875,0.02031919,0.2,-1.5443304497748613,0.6914201212115586
65536,47.41,32,1.6059999999999999,94,694,310,0.010084189474582672,0.0003,-0.2872581481933594,-0.062004474934656176,0.219189453125,0.022928726,0.2,-1.4888928469270468,0.33520712349563836
67584,47.54,33,1.252,94,713,320,0.07111984491348267,0.0003,-0.018997907638549805,-0.06430718419724143,0.234033203125,0.023519784,0.2,-1.5455154735594987,0.39595282734371723
69632,46.65,34,1.5810000000000002,95,732,330,0.08238331973552704,0.0003,0.035938262939453125,-0.0541110214231594,0.19130859375,0.018772535,0.2,-1.4385416969656943,0.478099112957716
71680,46.7,35,1.7630000000000001,95,752,340,0.14393292367458344,0.0003,0.14014452695846558,-0.061209890841564626,0.21904296875,0.021467043,0.2,-1.5900313779711723,0.5915059120394289
73728,48.32,36,1.8019999999999998,95,771,350,0.060381799936294556,0.0003,0.09712868928909302,-0.06271756642527179,0.23671875,0.025600418,0.2,-1.4905775744467973,0.3289110660087317
75776,49.11,37,1.8980000000000001,96,788,360,0.07122907042503357,0.0003,0.14727598428726196,-0.06223657049558824,0.218896484375,0.021237116,0.2,-1.5517104230821133,0.496223234385252
77824,48.71,38,1.964,96,806,370,0.18223102390766144,0.0003,0.2673494815826416,-0.057652408427384214,0.200048828125,0.021485766,0.2,-1.42838821336627,0.5062713695690035
